p2train-0	他 们 觉 得 父 母 的 行 为 方 式 和 价 值 观 念 太 不 老 了 	18 
p2train-651	我 才 清 楚 地 明 白 了 那 时 的 经 济 情 况 比 我 想 像 的 以 严 重 	21 
p2train-652	也 常 常 发 生 了 矛 盾 	6 
p2train-653	每 天 可 以 正 常 生 活 过 去 	9 10 
p2train-654	世 界 的 很 多 国 家 已 经 有 了 在 公 共 场 所 上 抽 烟 的 时 候 的 法 律 	17 
p2train-655	虽 然 他 的 工 作 非 常 忙 	4 
p2train-656	听 流 行 歌 曲 是 不 少 人 们 最 喜 欢 的 休 闲 活 动 之 一 	10 
p2train-657	增 加 新 来 的 知 识 所 完 成 的 	4 
p2train-658	现 在 孩 子 的 吸 烟 成 了 深 刻 的 社 会 问 题 	5 
p2train-659	而 是 不 让 这 种 心 理 影 响 我 们 的 态 度 的 	16 
p2train-660	我 要 说 所 我 的 看 法 	4 
p2train-661	对 代 沟 问 题 有 三 种 解 决 方 法 	1 
p2train-662	我 已 经 感 谢 你 们 	2 3 
p2train-663	现 在 开 始 进 行 学 英 语 	5 6 
p2train-664	从 这 学 期 我 开 始 做 饭 	1 
p2train-665	可 是 这 使 我 更 专 注 于 我 的 课 业 上 	14 
p2train-666	我 国 礼 貌 期 间 有 句 这 样 的 标 语 为 人 着 想 	3 4 5 6 
p2train-667	虽 然 每 个 个 人 的 健 康 非 常 重 要 	5 
p2train-668	由 “ 三 个 和 尚 没 水 喝 ” 这 个 故 事 	1 
p2train-669	我 们 抚 养 孩 子 的 意 思 是 也 包 含 教 育 的 意 思 	10 
p2train-670	流 行 歌 里 有 也 有 人 们 的 一 切 	5 
p2train-671	那 时 我 也 不 知 不 觉 得 流 下 了 眼 泪 	4 
p2train-672	这 个 是 社 会 的 问 题 也 有 	9 10 
p2train-673	但 他 天 天 吸 上 了 别 人 抽 的 烟 	7 
p2train-674	足 以 使 腐 蚀 人 民 思 想 	3 
p2train-675	但 旦 会 便 宜 地 给 一 些 穷 的 国 家 	2 
p2train-676	这 就 不 能 叫 是 个 蔬 菜 了 	6 7 
p2train-677	两 个 月 的 暑 假 期 间 里 去 了 国 内 的 许 多 城 市 ― ― 厦 门 	7 8 9 
p2train-678	世 界 比 一 以 前 更 好 	4 
p2train-679	我 实 在 没 有 什 么 人 可 用 的 能 力 	8 
p2train-680	一 方 面 就 觉 得 不 舒 服 	4 
p2train-681	在 每 个 家 庭 里 的 电 话 铃 声 换 成 小 河 的 流 水 声 	1 
p2train-682	人 们 普 遍 存 在 现 实 自 私 的 心 态 	7 8 
p2train-683	戒 烟 贴 等 的 戒 烟 商 品 	5 
p2train-684	长 辈 也 可 以 用 这 个 机 会 还 告 诉 晚 辈 他 们 说 的 一 些 话 的 道 理 	11 
p2train-685	首 先 当 初 中 的 老 师 	6 
p2train-686	一 起 聊 天 儿 了 	6 
p2train-687	在 街 道 的 吸 烟 场 所 上 可 以 看 到 这 样 的 人 吸 烟 	9 
p2train-688	我 认 为 安 乐 死 的 问 题 的 解 决 还 需 要 一 段 时 间 	7 
p2train-689	由 于 每 个 人 心 里 都 存 着 这 种 心 态 	1 2 
p2train-690	因 为 我 的 汉 语 水 平 不 太 好 所 以 发 生 了 一 个 很 可 笑 的 一 个 故 事 	23 24 
p2train-691	学 生 们 也 能 在 校 外 结 交 到 异 性 或 甚 至 损 友 	14 
p2train-692	追 时 髦 是 已 经 成 为 人 们 的 一 种 生 活 习 惯 	4 
p2train-693	别 说 中 长 年 男 人 	4 
p2train-694	在 大 学 第 三 年 级 时 参 加 了 一 个 全 国 广 告 设 计 比 赛 并 获 得 了 亚 军 	4 
p2train-695	在 我 国 这 些 事 是 很 普 遍 的 一 个 事 	12 13 14 
p2train-696	一 直 从 事 过 教 学 	5 
p2train-697	我 认 为 他 是 韩 国 近 代 时 的 缩 影 	10 
p2train-698	而 且 影 响 了 我 的 人 生 之 中 的 路 	10 11 
p2train-699	甚 至 不 要 回 家 	4 
p2train-700	父 亲 上 书 ： 老 爸 	3 4 
p2train-701	这 是 因 为 代 沟 是 从 缺 乏 了 解 而 产 生 的 	13 
p2train-702	故 欲 致 信 向 贵 公 司 申 请 导 旅 一 职 	2 
p2train-703	她 告 诉 了 我 一 切 都 要 忍 耐 	4 
p2train-704	第 二 的 是 它 们 的 内 容 不 太 好 	3 
p2train-705	在 缺 乏 与 异 性 交 往 的 经 验 与 了 解 	1 
p2train-706	如 果 一 般 人 的 话 	1 2 
p2train-707	我 也 有 上 过 口 才 训 练 班 	3 
p2train-708	不 难 发 现 到 反 对 与 赞 成 两 派 都 是 各 有 道 理 的 	5 
p2train-709	当 时 我 不 知 道 了 为 什 么 他 们 吵 架 	7 
p2train-710	但 一 上 了 高 中 后 我 竟 遇 到 了 学 习 的 困 难 	2 
p2train-711	在 分 班 学 校 里 的 学 生 有 可 能 会 与 从 别 校 学 生 谈 恋 爱 	15 
p2train-712	其 间 他 在 图 书 馆 找 各 种 资 料 的 	13 
p2train-713	它 们 包 括 了 新 加 坡 	5 
p2train-714	这 社 会 不 是 一 个 人 生 活 的 	9 10 
p2train-715	不 考 虑 别 人 的 挨 饿 	6 
p2train-716	这 是 我 第 一 次 给 您 们 写 信 了 	12 
p2train-717	我 去 有 一 座 小 卖 部 	3 
p2train-718	并 且 为 贫 穷 国 家 的 发 展 需 要 人 类 共 同 的 努 力 	3 
p2train-719	我 对 你 们 觉 的 感 激 之 情 永 远 地 不 能 忘 怀 	5 
p2train-720	他 们 因 自 私 自 利 	3 
p2train-721	他 还 要 劝 我 ： 万 事 开 头 难 	3 
p2train-722	男 的 需 要 1 . 8 0 米 高 以 上 	10 
p2train-723	但 是 常 常 给 我 们 的 欢 乐 	8 
p2train-724	不 切 实 际 等 的 看 法 	6 7 8 
p2train-725	而 告 诉 他 们 有 水 的 地 方 	1 
p2train-726	拿 英 语 来 说 每 个 人 如 果 受 到 教 育 就 要 会 用 英 语 	1 2 3 4 5 
p2train-727	因 为 近 年 来 歌 手 越 来 越 年 轻 人 	13 
p2train-728	有 时 候 其 表 现 方 式 为 非 常 极 端 	9 
p2train-729	到 现 在 	1 
p2train-730	意 识 到 吸 烟 将 会 破 坏 人 类 的 健 康 和 我 们 的 生 活 的 环 境 了 	18 
p2train-731	而 每 一 代 的 年 轻 时 代 都 有 不 同 的 音 乐 调 	17 
p2train-732	还 有 听 音 乐 就 是 成 让 人 高 兴 	8 
p2train-733	有 的 则 是 通 过 上 网 或 婚 姻 介 绍 所 介 绍 的 而 进 入 谈 恋 爱 到 最 后 结 婚 	17 
p2train-734	很 多 年 轻 人 以 及 歌 曲 爱 好 者 从 事 这 种 方 面 的 工 作 	16 
p2train-735	我 们 每 天 每 天 从 发 音 开 始 学 习 	5 6 
p2train-736	他 们 根 本 不 知 道 也 如 何 配 合 才 能 真 正 发 挥 最 大 的 效 果 	8 
p2train-737	只 只 问 我 们 的 意 见 然 后 说 他 们 的 想 法 	2 
p2train-738	这 个 两 个 方 面 对 我 来 说 	2 
p2train-739	你 们 的 女 儿 这 么 长 大 了 	6 7 
p2train-740	当 人 们 处 一 孤 单 的 时 候 	4 5 
p2train-741	还 尊 重 我 们 的 意 见 吗 	1 
p2train-742	在 新 加 坡 国 立 大 学 国 立 大 学 毕 业 	9 10 11 12 
p2train-743	我 是 六 岁 开 始 入 学 的 	5 6 
p2train-744	这 样 学 汉 语 过 程 	6 7 
p2train-745	所 以 更 喜 欢 上 它 	6 
p2train-746	写 这 封 信 的 当 儿 	5 6 7 
p2train-747	指 甲 发 黄 等 现 象 	6 7 
p2train-748	流 行 的 歌 曲 就 像 有 思 而 里 面 没 有 任 何 内 涵 的 电 影 	8 9 10 
p2train-749	我 较 喜 欢 单 独 地 去 旅 游 	7 
p2train-750	可 是 我 觉 得 孩 子 的 朋 友 也 是 个 第 一 任 老 师 	13 
p2train-751	父 母 希 望 子 女 学 习 学 得 好 	9 10 
p2train-752	我 再 给 您 写 信 的 	7 
p2train-753	本 人 认 为 任 何 一 个 人 除 了 上 帝 以 外 没 有 权 利 结 束 任 何 别 人 的 生 命 	22 23 
p2train-754	这 天 使 孩 子 们 晚 上 不 用 学 习 	3 
p2train-755	在 公 共 场 所 内 的 吸 烟 问 题 是 不 可 忽 视 的 	6 
p2train-756	这 次 去 香 港 的 不 是 为 了 旅 游 	6 
p2train-757	我 从 小 到 高 中 学 校 跟 你 们 在 一 起 生 活 的 时 候 	7 8 
p2train-758	特 别 消 沉 了 	5 
p2train-759	他 们 却 崇 尚 西 方 文 化 	3 
p2train-760	我 听 说 过 现 在 也 在 非 洲 那 些 国 家 天 天 死 去 七 	7 
p2train-761	我 也 做 了 很 多 事 情 惹 他 生 气 	4 
p2train-762	而 且 最 近 由 于 学 校 的 实 习 活 动 让 你 困 挠 着 	5 6 
p2train-763	还 有 一 个 三 岁 的 大 的 妹 妹 	7 
p2train-764	是 完 全 地 合 适 的 方 法 	4 
p2train-765	男 生 们 都 经 常 会 捉 弄 或 戏 弄 她 们 	4 
p2train-766	现 在 我 们 听 到 的 有 些 音 乐 歌 曲 太 不 象 话 了 	10 11 
p2train-767	就 会 死 下 去 	4 5 
p2train-768	我 才 知 道 了 汉 字 是 中 国 的 文 字 	5 
p2train-769	人 们 有 点 改 变 想 法 	3 4 
p2train-770	然 后 打 的 带 着 在 市 场 买 的 早 餐 打 的 去 沙 摊 	3 4 
p2train-771	我 努 力 而 奋 斗 取 得 好 成 绩 	4 
p2train-772	据 市 政 府 之 称 	5 
p2train-773	这 也 间 接 或 直 接 会 影 响 他 们 的 生 活 习 惯 等 方 面 	19 20 
p2train-774	我 们 也 是 再 犯 了 一 样 的 错 误 	5 
p2train-775	一 旦 总 有 一 天 我 得 了 一 种 不 治 之 症 	3 
p2train-776	硬 要 他 带 我 去 的 	7 
p2train-777	那 时 候 我 们 主 要 谈 的 是 关 于 在 中 国 的 生 活 如 何 	11 12 
p2train-778	父 母 对 孩 子 也 来 说 	6 
p2train-779	人 类 出 生 后 长 大 时 	6 7 8 
p2train-780	我 才 懂 得 不 少 的 做 道 理 	8 
p2train-781	曾 经 我 有 看 过 有 关 饥 饿 的 统 计 	4 
p2train-782	所 以 说 母 亲 父 母 的 小 时 候 的 教 育 很 重 要 	4 5 
p2train-783	我 认 为 小 孩 子 的 第 一 个 老 师 是 父 母 的 	16 
p2train-784	这 都 是 你 的 牺 牲 的 结 果 	5 
p2train-785	其 最 重 要 的 一 点 其 实 是 我 想 到 法 国 继 续 学 习 法 语 	1 
p2train-786	从 很 久 以 前 	1 
p2train-787	觉 得 很 高 兴 了 	6 
p2train-788	大 家 都 能 敢 做 	4 
p2train-789	当 时 我 跟 司 机 先 生 说 谈 话 了 很 长 时 间 	10 11 
p2train-790	在 校 的 子 女 早 恋 便 是 父 母 所 担 心 的 其 中 一 个 问 题 	16 17 
p2train-791	所 以 应 该 一 起 努 力 的 	9 
p2train-792	作 为 吸 烟 对 个 人 健 康 的 影 响 	1 2 
p2train-793	即 是 用 流 行 歌 曲 可 以 教 育 孩 子 的 思 想 	2 
p2train-794	有 的 青 少 年 们 羡 慕 这 种 行 为 	6 
p2train-795	对 身 体 也 好 	4 
p2train-796	其 目 的 主 要 是 为 了 使 病 人 解 脱 痛 苦 之 中 	16 17 
p2train-797	已 经 成 为 困 扰 我 们 社 会 上 众 多 家 庭 的 问 题 	11 
p2train-798	然 后 我 也 会 慢 慢 地 了 解 爸 爸 的 想 法 和 价 值 观 	5 
p2train-799	我 是 高 三 时 没 考 上 大 学 	2 
p2train-800	吸 烟 一 百 害 无 益 	3 
p2train-801	同 时 也 分 别 存 在 男 子 中 学 以 及 女 子 中 学 	4 5 
p2train-802	我 想 趁 这 个 “ 五 . 一 ” 节 	1 2 3 
p2train-803	我 也 会 说 也 会 想 的 	8 
p2train-804	特 别 是 我 更 喜 欢 流 行 歌 曲 	1 2 3 
p2train-805	生 存 就 表 示 痛 苦 而 已 时 	8 9 
p2train-806	连 对 我 妈 妈 也 很 好 	1 
p2train-807	故 欲 写 信 致 贵 公 司 申 请 导 游 的 职 位 	2 
p2train-808	一 般 上 仪 态 会 比 较 好 	3 
p2train-809	“ 对 话 ” 这 就 是 关 健 的 	5 6 
p2train-810	我 不 能 用 在 社 会 上 站 住 自 己 的 脚 	4 
p2train-811	抽 烟 对 肺 等 所 有 的 部 分 不 好 	6 7 8 
p2train-812	而 说 实 话 	1 
p2train-813	我 常 常 看 到 吸 完 烟 就 把 其 烟 头 好 不 在 乎 地 扔 在 地 上 的 人 	11 
p2train-814	在 那 些 死 亡 人 数 中 	7 
p2train-815	离 开 着 你 们 	3 
p2train-816	影 响 就 会 更 大 的 	7 
p2train-817	我 觉 得 这 样 做 得 不 对 	7 
p2train-818	当 了 服 务 员 	2 
p2train-819	我 知 道 我 应 该 要 帮 助 你 们 	7 
p2train-820	对 我 的 意 见 来 说 	3 4 5 
p2train-821	母 亲 的 负 担 也 没 有 以 前 那 么 再 重 了 	13 
p2train-822	青 少 年 人 无 一 不 知 吸 烟 对 人 体 健 康 带 来 的 危 害 	4 
p2train-823	但 是 有 时 候 要 做 到 的 会 有 困 难 	9 
p2train-824	再 比 如 社 区 内 开 办 教 老 年 人 电 脑 的 班 	15 
p2train-825	就 不 会 怪 自 己 的 儿 子 了 	3 
p2train-826	我 们 的 关 系 之 间 问 题 不 多 了 	3 4 5 
p2train-827	一 直 受 到 父 母 的 真 情 和 影 响 	8 9 10 
p2train-828	不 是 小 题 大 做 的 	7 
p2train-829	也 不 用 费 很 大 的 心 为 了 准 备 	9 10 
p2train-830	你 应 该 忍 耐 现 在 的 有 一 些 痛 苦 	9 
p2train-831	如 果 我 们 每 个 国 家 都 用 化 肥 和 农 药 产 量 	16 17 
p2train-832	三 个 和 尚 络 给 支 持 不 住 而 倒 下 	5 6 
p2train-833	他 们 以 为 肯 定 更 有 意 思 了 	11 
p2train-834	大 家 都 依 赖 于 别 人 	6 
p2train-835	我 不 能 支 持 男 女 分 班 的 教 学 方 法 	3 
p2train-836	说 难 方 法 就 难 	3 4 
p2train-837	直 接 吸 烟 上 的 问 题 	5 
p2train-838	我 在 中 学 时 也 有 学 过 日 语 	7 
p2train-839	人 本 来 随 着 内 外 坏 境 变 化 一 起 变 成 的 	15 
p2train-840	我 感 觉 得 这 样 的 办 法 对 孩 子 也 有 教 育 方 面 的 好 处 	4 
p2train-841	我 也 有 了 希 望 早 日 学 好 茶 道 	3 4 
p2train-842	像 我 的 话 	3 4 
p2train-843	而 非 常 赞 成 	1 
p2train-844	对 现 在 流 行 什 么 歌 曲 也 不 闻 不 问 	10 
p2train-845	我 家 一 年 中 有 八 次 的 祭 祀 	9 
p2train-846	登 山 去 吃 梨 子 了 	7 
p2train-847	请 到 那 个 时 候 忍 耐 一 下 	3 4 5 6 
p2train-848	可 能 和 这 些 年 青 人 的 父 母 父 有 点 不 同 	12 
p2train-849	这 次 旅 游 对 我 很 有 用 的 	10 
p2train-850	而 提 高 素 质 以 后 	1 
p2train-851	当 我 和 妹 妹 与 父 母 说 话 时 并 无 须 说 完 整 的 汉 话 	12 
p2train-852	他 们 俩 成 长 的 环 境 不 同 	3 
p2train-853	孩 子 的 教 育 有 那 么 困 难 	6 
p2train-854	但 是 也 还 有 很 多 地 方 就 能 看 到 边 走 边 抽 烟 的 人 	10 
p2train-855	学 生 在 上 课 的 时 间 就 有 六 个 小 时 了 	3 
p2train-856	在 这 里 没 有 水 	1 
p2train-857	都 是 抱 着 对 婚 姻 浪 漫 的 期 待 和 对 未 来 抱 着 美 好 的 憧 憬 而 走 进 结 婚 的 礼 堂 的 	17 18 
p2train-858	我 的 脚 上 常 常 长 起 水 泡 	7 
p2train-859	在 禁 止 吸 烟 的 地 方 上 吸 的 话 	9 
p2train-860	我 自 己 去 离 我 家 很 近 的 公 园 玩 的 	14 
p2train-861	流 行 歌 曲 是 现 在 已 经 成 为 一 种 大 众 化 了 	5 
p2train-862	离 婚 的 事 不 是 没 可 能 的 一 会 事 	11 12 13 
p2train-863	我 天 天 跟 孩 子 打 个 交 道 	8 
p2train-864	工 作 的 忙 碌 而 忽 略 了 他 们 	3 
p2train-865	学 习 汉 语 的 机 会 也 很 多 了 	11 
p2train-866	人 体 是 最 神 奇 的 态 作 品 	8 
p2train-867	放 学 后 回 到 家 里 来 了 	8 9 
p2train-868	其 实 父 母 不 仅 是 第 一 个 老 师 还 有 也 是 最 好 的 老 师 	13 14 
p2train-869	当 然 在 农 村 工 作 是 第 一 次 的 	12 
p2train-870	还 有 在 中 关 村 也 不 能 去 	3 
p2train-871	所 以 我 开 始 学 汉 语 快 三 年 了 	4 5 
p2train-872	我 看 将 来 会 有 一 天 能 发 明 无 公 害 的 化 肥 或 着 农 药 	19 
p2train-873	我 认 为 帮 助 人 家 自 杀 （ 安 乐 死 ） 是 杀 人 罪 的 	19 
p2train-874	一 到 假 期 就 回 家 乡 了 	9 
p2train-875	他 们 都 不 喜 欢 看 流 行 歌 曲 	7 
p2train-876	中 国 学 校 的 男 女 混 合 式 教 育 都 是 表 达 出 了 男 女 平 等 的 社 会 局 面 	13 14 
p2train-877	而 罚 款 也 许 就 是 对 这 些 吸 烟 者 是 最 好 的 惩 罚 	14 
p2train-878	不 抽 烟 的 人 觉 得 这 个 情 况 不 算 那 么 好 消 息 	14 15 
p2train-879	对 解 决 这 个 问 题 	1 
p2train-880	父 亲 的 性 格 比 较 温 柔 和 体 贴 	10 
p2train-881	孩 子 吃 的 一 切 生 活 需 要 都 是 由 父 母 提 供 的 	3 
p2train-882	间 接 吸 烟 上 的 问 题 	5 
p2train-883	流 行 歌 曲 让 我 的 舒 服 	7 
p2train-884	那 一 种 声 音 是 对 人 们 最 容 易 听 到 的 	7 
p2train-885	所 以 我 从 小 开 始 去 雪 山 滑 滑 雪 	12 
p2train-886	影 响 所 致 我 也 觉 得 能 助 人 是 人 生 乐 事 	3 4 
p2train-887	我 们 应 该 考 虑 直 正 所 有 意 义 的 生 命 	9 
p2train-888	那 么 当 每 逢 星 期 六 的 那 一 天 	3 
p2train-889	而 且 也 是 在 性 格 方 面 	4 
p2train-890	还 知 道 要 努 力 去 为 创 造 条 件 	8 
p2train-891	就 在 附 近 离 外 婆 家 不 远 处 	3 4 
p2train-892	拿 到 了 很 多 资 料 了 	8 
p2train-893	当 时 我 参 加 考 大 学 的 考 试 	6 
p2train-894	我 觉 得 那 时 我 受 到 他 的 教 育 方 法 是 我 的 幸 运 	13 14 
p2train-895	我 只 是 一 个 孩 子 了 吧 	8 
p2train-896	如 果 无 经 验 者 也 可 申 请 	1 2 
p2train-897	有 通 过 音 乐 能 够 表 示 感 情 	1 
p2train-898	我 上 小 学 校 的 时 候 	5 
p2train-899	而 且 从 小 时 候 就 应 该 开 始 培 养 感 情 	5 6 
p2train-900	大 人 让 孩 子 享 受 大 自 然 世 界 	11 12 
p2train-901	而 吸 食 二 手 烟 的 家 人 们 更 是 大 大 增 加 了 致 病 的 危 险 	3 
p2train-902	我 那 天 听 到 你 这 句 话 特 别 感 动 了 	14 
p2train-903	什 么 都 没 有 了 	6 
p2train-904	从 十 五 岁 的 时 候 开 始 打 的 球 	11 
p2train-905	粮 食 问 题 不 是 重 严 重 的 问 题 	7 
p2train-906	但 是 负 责 在 我 们 单 位 当 中 最 重 要 的 部 分 	5 
p2train-907	冬 天 的 有 一 天 	4 
p2train-908	我 有 遇 到 的 困 难 的 时 期 是 在 生 活 中 最 完 美 的 时 期 	2 
p2train-909	他 曾 经 说 过 ： 人 要 有 礼 貌 	5 
p2train-910	我 们 必 须 要 吃 饱 温 暖 	8 9 
p2train-911	我 认 为 在 这 些 方 面 有 不 少 有 解 决 这 个 问 题 的 可 能 性 	12 
p2train-912	同 班 同 学 的 一 对 开 始 了 谈 恋 爱 	10 
p2train-913	而 且 又 影 响 了 周 围 人 的 身 体 	3 
p2train-914	就 从 文 化 方 面 来 说 	2 
p2train-915	因 此 决 定 来 到 北 京 的 语 言 大 学 	9 
p2train-916	这 个 是 中 国 还 没 充 分 认 识 到 的 一 个 大 的 问 题 	2 
p2train-917	我 相 信 没 有 任 何 父 母 亲 不 希 望 他 们 的 孩 子 不 成 功 	19 
p2train-918	因 为 在 这 个 世 界 上 只 有 男 和 女 两 种 的 人 	16 
p2train-919	韩 国 是 一 个 儒 教 国 家 之 一 	10 11 
p2train-920	而 且 容 易 接 受 这 种 变 化 	7 8 
p2train-921	到 了 放 假 我 朋 友 回 国 去 以 后 	10 
p2train-922	中 国 也 不 是 例 外 	5 
p2train-923	我 是 一 个 家 里 最 小 的 女 儿 	3 4 
p2train-924	想 知 道 更 多 的 关 于 中 国 的 东 西 	6 
p2train-925	如 果 是 父 母 希 望 孩 子 能 成 为 像 自 己 一 样 的 大 人 	3 
p2train-926	父 母 在 作 出 这 么 一 个 决 定 	3 
p2train-927	网 球 及 水 上 滑 水 	4 5 
p2train-928	可 是 以 后 我 快 要 明 白 了 	3 4 
p2train-929	而 且 常 做 过 我 自 己 愿 意 的 事 	5 
p2train-930	便 任 职 于 本 地 的 一 家 旅 游 公 司 的 导 游 	4 
p2train-931	我 来 北 京 以 后 才 知 道 了 自 己 的 生 活 应 该 靠 自 己 	10 
p2train-932	以 前 我 们 社 会 太 忽 视 了 吸 烟 的 有 害 性 	10 
p2train-933	只 要 “ 真 心 爱 ” 就 是 最 普 通 也 是 最 理 想 的 男 女 结 交 方 式 	1 2 
p2train-934	不 禁 不 泪 落 	3 
p2train-935	因 为 上 一 代 的 人 们 跟 现 在 年 青 人 住 的 生 活 环 境 有 很 大 的 差 异 	15 
p2train-936	所 以 不 得 已 得 辞 掉 工 作 	6 
p2train-937	在 韩 国 考 上 大 学 跟 中 国 情 况 差 不 多 	5 
p2train-938	在 韩 国 流 行 歌 曲 中 我 喜 欢 的 歌 曲 也 有 是 有 	15 
p2train-939	对 个 人 与 别 人 大 家 都 好 	5 6 
p2train-940	是 我 这 一 生 人 最 感 激 不 尽 的 人 	6 
p2train-941	可 能 会 得 好 多 种 的 病 	8 
p2train-942	有 书 好 读 	3 
p2train-943	您 都 那 么 关 心 我 和 我 哥 哥 俩 	12 
p2train-944	而 觉 得 所 有 的 学 校 应 该 要 改 成 男 女 混 合 式 的 学 校 	11 
p2train-945	可 是 喜 欢 听 流 行 歌 曲 也 不 奇 怪 的 	14 
p2train-946	但 我 能 感 觉 到 他 们 的 对 客 人 的 热 情 	9 
p2train-947	在 人 生 地 疏 的 地 方 一 切 由 自 己 动 手 	11 
p2train-948	对 爱 情 方 面 的 挺 多 的 	1 
p2train-949	当 中 有 牵 涉 到 其 他 的 因 素 	3 
p2train-950	我 认 为 现 在 的 中 国 的 男 女 分 班 的 潮 流 是 教 师 和 父 母 相 互 避 开 孩 子 们 的 性 教 育 的 问 题 的 结 果 	23 24 
p2train-951	如 果 父 母 跟 祖 父 祖 母 一 起 住 在 的 话 	13 
p2train-952	父 母 要 对 孩 子 讲 得 有 道 理 	8 9 
p2train-953	后 果 也 可 能 不 太 好 的 	9 
p2train-954	而 且 要 关 心 社 会 的 	8 
p2train-955	日 本 基 本 上 3 就 算 只 有 一 个 民 族 	6 7 8 
p2train-956	在 汉 城 出 生 了 	6 
p2train-957	“ 安 乐 死 ” 对 这 问 题 很 难 说 明 	6 
p2train-958	在 家 里 只 留 您 们 两 个 人 	1 
p2train-959	她 从 来 一 直 没 有 男 朋 有 	2 3 
p2train-960	很 吃 惊 了 	4 
p2train-961	我 想 这 样 的 态 度 是 对 自 己 和 国 家 都 不 好 	8 
p2train-962	如 果 在 公 共 场 所 中 吸 烟 	8 
p2train-963	我 们 做 子 女 们 	3 
p2train-964	我 要 向 别 的 留 学 生 学 习 吧 	11 
p2train-965	把 挫 折 就 变 成 动 力 	4 
p2train-966	不 论 男 女 老 少 都 喜 欢 这 些 首 歌 曲 	12 
p2train-967	法 国 的 一 部 的 小 说 里 有 一 个 故 事 	3 
p2train-968	这 也 是 对 我 很 满 意 的 事 情 	4 
p2train-969	那 次 需 要 妈 妈 和 我 的 帮 忙 	2 
p2train-970	好 的 歌 曲 是 一 个 努 力 做 出 来 的 	6 7 
p2train-971	现 在 了 逐 渐 产 生 了 用 非 化 学 物 质 合 成 的 化 肥 	3 
p2train-972	几 年 前 流 行 的 一 首 歌 让 子 女 们 想 念 父 母 的 歌 	9 
p2train-973	现 在 在 日 本 的 吸 烟 者 越 来 越 少 	3 
p2train-974	每 一 次 老 师 布 置 数 学 的 作 业 	10 
p2train-975	要 抽 烟 的 人 的 找 个 地 方 去 抽 烟 好 了 	6 
p2train-976	跟 子 女 谈 话 也 是 重 要 	7 
p2train-977	对 我 来 说 还 可 以 能 学 好 多 中 国 文 化 	8 
p2train-978	你 们 结 了 婚 已 经 2 5 年 了 吧 	4 
p2train-979	所 以 我 经 常 和 父 母 亲 一 起 商 量 对 于 这 个 问 题 	14 15 
p2train-980	过 了 这 样 的 日 子 时 	2 
p2train-981	现 实 生 活 中 主 要 常 见 到 的 相 识 方 法 应 可 被 归 纳 成 几 类 	10 
p2train-982	但 是 父 母 毕 竟 是 的 第 一 任 老 师 	8 
p2train-983	伯 伯 的 名 叫 	3 
p2train-984	可 是 至 少 我 的 周 围 中 没 有 人 成 功 戒 烟 	9 
p2train-985	所 以 那 天 她 做 什 么 事 都 不 能 做 	6 
p2train-986	我 们 觉 得 流 行 歌 曲 水 平 不 够 高 级 水 平 是 一 种 偏 见 和 根 深 蒂 固 的 想 法 	14 15 16 
p2train-987	若 一 旦 发 现 就 一 律 罚 款 	1 
p2train-988	不 能 靠 听 力 而 判 断 不 了 事 情 	9 10 
p2train-989	如 果 我 是 三 个 人 之 中 之 一 	9 10 
p2train-990	两 个 人 一 起 住 一 个 公 寓 了 	11 
p2train-991	总 是 给 人 感 觉 一 种 “ 敬 而 远 之 ” 之 感 	5 6 
p2train-992	而 且 有 人 甚 至 来 电 话 时 接 电 话 而 聊 天 儿 	14 
p2train-993	在 这 世 界 上 再 也 不 能 有 更 进 步 的 科 技 和 一 切 发 明 了 	18 19 
p2train-994	可 惜 北 京 的 春 天 净 是 吹 风 	10 
p2train-995	代 沟 问 题 一 直 存 在 的 	9 
p2train-996	要 买 一 架 质 量 好 的 	3 4 
p2train-997	男 女 分 班 的 教 学 方 式 已 经 逐 渐 地 广 泛 化 了 起 来 	18 
p2train-998	他 还 是 给 好 多 人 很 大 的 影 响 	3 
p2train-999	弟 弟 明 年 要 毕 业 的 	8 
p2train-1000	可 是 有 的 方 面 是 确 定 是 难 	7 
p2train-1001	我 认 为 不 挨 饿 是 对 人 们 来 说 是 最 重 要 的 	13 
p2train-1002	是 她 让 我 有 一 股 要 强 大 的 信 心 去 面 对 未 来 的 一 切 障 碍 	8 
p2train-1003	最 重 要 的 是 互 相 努 力 的 	10 
p2train-1004	孩 子 们 他 们 都 不 会 做 在 生 活 上 最 基 本 的 事 	10 
p2train-1005	她 是 个 我 的 理 想 的 女 性 之 一 	3 
p2train-1006	而 只 是 从 爱 好 而 已 	4 
p2train-1007	这 种 三 个 人 恐 怕 达 不 到 真 理 	2 
p2train-1008	可 是 这 些 个 别 的 地 方 来 不 能 以 点 代 全 	10 
p2train-1009	我 像 母 亲 的 部 分 是 喜 欢 做 饭 的 	13 
p2train-1010	我 到 山 上 的 路 不 好 	1 
p2train-1011	所 以 发 生 了 冲 击 	1 2 
p2train-1012	如 果 把 这 个 根 本 原 因 没 有 了 	3 
p2train-1013	男 女 分 班 也 可 以 了 	8 
p2train-1014	现 代 人 认 为 爱 情 不 是 只 美 的 	10 
p2train-1015	我 给 了 你 们 打 了 电 话 	3 
p2train-1016	其 他 两 个 和 尚 也 如 此 一 样 可 以 是 任 何 人 	8 9 
